#ssr105
time, distance, theta, 
59.3164, 0.55397, -0.238237, 
59.4176, 0.55337, -0.283616, 
59.5225, 0.552967, -0.31765, 
59.6276, 0.552596, -0.351684, 
59.7291, 0.552253, -0.385718, 
59.8352, 0.551932, -0.419752, 
59.9367, 0.55173, -0.442441, 
60.0411, 0.55144, -0.476475, 
60.1445, 0.589892, -0.482147, 
60.1799, 0.589709, -0.504836, 
60.2842, 0.589533, -0.527526, 
60.3881, 0.589363, -0.550215, 
60.4908, 0.610483, -0.547379, 
60.5272, 0.589447, -0.53887, 
60.6358, 0.589533, -0.527526, 
60.737, 0.58962, -0.516181, 
60.8394, 0.589709, -0.504836, 
60.9448, 0.589709, -0.504836, 
61.0464, 0.551167, -0.510509, 
61.0859, 0.550992, -0.533198, 
61.187, 0.55066, -0.578577, 
61.2909, 0.550501, -0.601266, 
61.3952, 0.588807, -0.629628, 
61.4962, 0.550197, -0.646644, 
61.5324, 0.588658, -0.652317, 
61.5689, 0.588586, -0.663661, 
61.6741, 0.588586, -0.663661, 
61.7754, 0.588586, -0.663661, 
61.8116, 0.588586, -0.663661, 
61.9142, 0.588586, -0.663661, 
61.9505, 0.632232, -0.657989, 
62.0675, 0.63238, -0.6353, 
62.1572, 0.632455, -0.623955, 
62.1937, 0.589198, -0.572904, 
62.297, 0.589533, -0.527526, 
62.3999, 0.633187, -0.521853, 
62.4344, 0.633365, -0.499164, 
62.539, 0.589892, -0.482147, 
62.5733, 0.63374, -0.453786, 
62.6802, 0.634145, -0.408407, 
62.782, 0.684227, -0.39139, 
62.8204, 0.684566, -0.357356, 
62.9214, 0.68506, -0.311978, 
63.024, 0.685193, -0.300633, 
63.0625, 0.685614, -0.266599, 
63.165, 0.685919, -0.24391, 
63.2681, 0.68608, -0.232565, 
63.3024, 0.686247, -0.22122, 
63.3403, 0.686603, -0.198531, 
63.4401, 0.74455, -0.192859, 
63.4773, 0.687421, -0.153153, 
63.5813, 0.746165, -0.113446, 
63.6842, 0.746463, -0.102102, 
63.7231, 0.748009, -0.0567232, 
63.8237, 0.691001, -0.0397062, 
63.9277, 0.690412, -0.0510509, 
64.0485, 0.639016, -0.0907571, 
64.1345, 0.63869, -0.102102, 
64.1731, 0.637857, -0.136136, 
64.2753, 0.637174, -0.17017, 
64.3797, 0.554305, -0.215548, 
64.4819, 0.592549, -0.232565, 
64.5175, 0.55337, -0.283616, 
64.6213, 0.591662, -0.300633, 
64.6558, 0.55284, -0.328995, 
64.6904, 0.552253, -0.385718, 
64.7969, 0.517391, -0.448113, 
64.8983, 0.533984, -0.456622, 
64.9348, 0.516833, -0.516181, 
65.0379, 0.516493, -0.56156, 
65.1423, 0.550501, -0.601266, 
65.2464, 0.550197, -0.646644, 
65.351, 0.53234, -0.683515, 
65.4535, 0.549771, -0.714712, 
65.5599, 0.588168, -0.731729, 
65.6638, 0.588101, -0.743074, 
65.766, 0.515314, -0.743074, 
65.808, 0.588168, -0.731729, 
65.9103, 0.631812, -0.726057, 
66.0096, 0.631812, -0.726057, 
66.0487, 0.631949, -0.703368, 
66.1507, 0.682117, -0.663661, 
66.2543, 0.740229, -0.623955, 
66.3581, 0.740542, -0.578577, 
66.4604, 0.740706, -0.555887, 
66.4994, 0.68324, -0.504836, 
66.6006, 0.741612, -0.442441, 
66.7048, 0.742247, -0.374373, 
66.8081, 0.810834, -0.323322, 
66.9105, 0.742979, -0.306305, 
66.9482, 0.685764, -0.255254, 
67.0529, 0.74455, -0.192859, 
67.1543, 0.744948, -0.17017, 
67.1906, 0.814072, -0.119119, 
67.2951, 0.815013, -0.0850848, 
67.3988, 1.11424, 0.873537, 
67.5051, 0.749199, -0.0340339, 
67.6066, 0.751347, -0.0113446, 
67.7104, 0.820506, 0.00567232, 
67.8168, 0.818662, 0.017017, 
67.92, 0.748545, 0.0453786, 
68.0271, 0.749199, 0.0340339, 
68.1282, 0.888386, 0.862193, 
68.2341, 0.738889, 0.850848, 
68.3387, 0.631175, 0.839503, 
68.4392, 0.738889, 0.850848, 
68.5459, 0.686421, -0.209876, 
68.6479, 0.635621, -0.272271, 
68.7562, 0.634948, -0.328995, 
68.8559, 0.634361, -0.385718, 
68.9597, 0.634252, -0.397062, 
68.996, 0.63374, -0.453786, 
69.0988, 0.68324, -0.504836, 
69.202, 0.633187, -0.521853, 
69.2421, 0.632768, -0.578577, 
69.3419, 0.63238, -0.6353, 
69.4459, 0.54998, -0.680678, 
69.5527, 0.631949, -0.703368, 
69.6541, 0.888386, 0.862193, 
69.7669, 0.631548, -0.771436, 
69.8637, 0.68131, -0.799797, 
69.9672, 0.631297, -0.816814, 
70.0708, 0.631235, -0.828159, 
70.1774, 0.631359, -0.805469, 
70.2784, 0.631613, -0.760091, 
70.3848, 0.632018, -0.692023, 
70.4871, 0.682045, -0.675006, 
70.5258, 0.682649, -0.584249, 
70.6267, 0.741417, -0.46513, 
70.7298, 0.684566, -0.357356, 
70.8343, 0.685469, -0.277944, 
70.9398, 0.74455, -0.192859, 
71.0439, 0.746463, -0.102102, 
71.1472, 0.68949, -0.0737402, 
71.1872, 0.751347, -0.0113446, 
71.2865, 0.749199, 0.0340339, 
71.3883, 0.690412, 0.0510509, 
71.4236, 0.747149, 0.0794125, 
71.5268, 0.689111, 0.0850848, 
71.5638, 0.746165, 0.113446, 
71.6671, 0.74539, 0.14748, 
71.7719, 0.744948, 0.17017, 
71.8782, 0.812323, 0.209876, 
71.9809, 0.743852, 0.238237, 
72.082, 0.743852, 0.238237, 
72.1171, 0.811666, 0.255254, 
72.1518, 0.743395, 0.272271, 
72.2553, 0.811371, 0.277944, 
72.2918, 0.811231, 0.289288, 
72.3945, 0.811095, 0.300633, 
72.4289, 0.742979, 0.306305, 
72.4646, 0.810834, 0.323322, 
72.5679, 0.742722, 0.328995, 
72.6042, 0.810587, 0.346012, 
72.7084, 0.742361, 0.363028, 
72.8125, 0.742247, 0.374373, 
72.9155, 0.810239, 0.380045, 
72.9525, 0.742135, 0.385718, 
73.0546, 0.810129, 0.39139, 
73.1586, 0.742026, 0.397062, 
73.1949, 0.742026, 0.397062, 
